year,temp_anomaly,ice_volume
1940,-0.109,34.91
1941,-0.102,35.31
1942,-0.098,34.13
1943,-0.065,34.66
1944,-0.093,34.74
1945,-0.061,35.15
1946,-0.031,34.5
1947,-0.109,33.8
1948,-0.045,34.82
1949,-0.053,33.97
1950,-0.018,33.14
1951,-0.063,33.95
1952,0.014,33.41
1953,-0.009,33.48
1954,0.021,32.62
1955,0.014,32.24
1956,-0.171,32.5
1957,-0.063,33.05
1958,0.038,31.8
1959,0.055,31.71
1960,0.005,31.85
1961,0.023,32.2
1962,0.06,31.75
1963,0.067,31.59
1964,-0.004,30.77
1965,0.012,31.15
1966,0.031,31.84
1967,0.003,29.88
1968,0.104,30.91
1969,0.094,30.37
1970,0.156,29.66
1971,-0.009,29.19
1972,0.139,28.48
1973,0.09,29.08
1974,0.075,29.06
1975,0.135,29.59
1976,0.159,27.86
1977,0.11,27.49
1978,0.223,27.35
1979,0.184,27.73
1980,0.167,26.94
1981,0.122,26.26
1982,0.22,26.73
1983,0.348,26.23
1984,0.314,26.04
1985,0.385,26.11
1986,0.358,24.87
1987,0.418,25.27
1988,0.46,24.77
1989,0.525,24.3
1990,0.526,24.24
1991,0.421,23.31
1992,0.465,24.28
1993,0.545,23.6
1994,0.375,23.3
1995,0.573,22.36
1996,0.524,22.32
1997,0.687,21.47
1998,0.58,22.36
1999,0.603,21.17
2000,0.66,20.41
2001,0.691,20.1
2002,0.755,20.38
2003,0.863,20.19
2004,0.832,19.06
2005,0.767,19.54
2006,0.903,18.2
2007,0.881,18.99
2008,0.938,18.71
2009,0.873,17.75
2010,0.819,17.77
2011,0.906,18.33
2012,0.905,17.13
2013,0.872,16.42
2014,1.006,16.68
2015,1.101,15.89
2016,0.971,15.78
2017,1.093,15.44
2018,1.044,15.4
2019,1.115,14.82
2020,1.21,14.41
2021,1.175,14.81
2022,1.197,13.22
2023,1.213,13.74
